,name,prepTimeMinutes,cookTimeMinutes,servings,caloriesPerServing,reviewCount
0,Classic Margherita Pizza,20,15,4,300,98
1,Vegetarian Stir-Fry,15,20,3,250,26
2,Chocolate Chip Cookies,15,10,24,150,13
3,Chicken Alfredo Pasta,15,20,4,500,82
4,Mango Salsa Chicken,15,25,3,380,63
5,Quinoa Salad with Avocado,20,15,4,280,59
6,Tomato Basil Bruschetta,15,10,6,120,95
7,Beef and Broccoli Stir-Fry,20,15,4,380,58
8,Caprese Salad,10,0,2,200,82
9,Shrimp Scampi Pasta,15,20,3,400,5
10,Chicken Biryani,30,45,6,550,32
11,Chicken Karahi,20,30,4,420,68
12,Aloo Keema,25,35,5,380,53
13,Chapli Kebabs,30,20,4,320,98
14,Saag (Spinach) with Makki di Roti,40,30,3,280,86
15,Japanese Ramen Soup,20,25,2,480,38
16,Moroccan Chickpea Tagine,15,30,4,320,50
17,Korean Bibimbap,30,20,2,550,56
18,Greek Moussaka,45,45,6,420,26
19,Butter Chicken (Murgh Makhani),30,25,4,480,44
20,Thai Green Curry,20,30,4,480,18
21,Mango Lassi,10,0,2,180,15
22,Italian Tiramisu,30,0,6,350,0
23,Turkish Kebabs,25,15,4,280,78
24,Blueberry Banana Smoothie,10,0,1,220,30
25,Mexican Street Corn (Elote),15,15,4,180,2
26,Russian Borscht,30,40,6,220,39
27,South Indian Masala Dosa,40,20,4,320,96
28,Lebanese Falafel Wrap,15,10,2,400,84
29,Brazilian Caipirinha,5,0,1,150,55
